"LocationName","Address","City","State","Zip","Description","Website","Phone","lat","lng"
"Revision Urban Farmstand","38 Fabyan Street","DORCHESTER","MA","02124","Community-based urban agriculture project that grows produce in its own fields and provides access to affordable, nutritious and culturally appropriate food to residents of our ReVision Family Home and our extended community. ","","(617) 822-3276","42.362125","-71.113438"
"NUBIA Farmstand","100 Malcolm X BLVD","Boston","MA","02119","Justice Gourdin Park I on Malcolm X Blvd in Nubian Sq. Cross street from the police station. Open Tuesday, 2:00 pm - 5:00 pm, July to October. ","","","42.365176","-71.043036"
"Roxbury/Roxbury Crossing Farmers Market","1420 Tremont St.-Roxbury Crossing MBTA Station","JAMAICA PLAIN","MA","02120","Dates & Time: Year-round; Tuesday and Friday, 11:00 am - 6:00 pm; WIC & Senior Coupons Accepted; EBT-SNAP Accepted.","www.mhhm.org","","42.359509","-71.066367"
"The Fresh Truck Mobile Market","100 Ames Street","DORCHESTER","MA","02121","Dates and Time: Friday, 10:00 am - 12:30 pm; Check website for updates. ","www.aboutfresh.org/fresh-truck/#schedule","(617) 297-7685","42.336091","-71.093084"
"Mission Hill Farmers Market","725 Huntington Ave.","Boston","MA","02115","Hanlon Square: Dates & Time: May 8 to November 19; Thursday, 11:00 am - 6:00 pm; WIC & Senior Coupons Accepted; EBT-SNAP Accepted.","www.mhhm.org","","42.337461","-71.074296"
"Roxbury/Dudley Winter Market","11 Brook Ave.","ROXBURY","MA","02119","Date and Time: November 13 to February 5; Thursday, 2:30 pm - 6:00 pm; EBT-SNAP Accepted. ","www.facebook.com/dudleygrows/","","42.33933","-71.086397"
"Roxbury/Nubian Square Farmers Market","2300 Washington Street","ROXBURY","MA","02119","Roxbury Public Library; Date and Time: Friday, 3:00 pm - 6:00 pm and Saturday, 11:00 am - 3:00 pm; July 11 to October 8; EBT-SNAP Accepted. ","www.nubiansquarefarmersmarket.com","","42.364114","-71.125603"
"The Fresh Truck Mobile Market","Mission Park Apartments, 2 New Whitney St. ","Boston","MA","02115","Dates and Time: Wednesday, 2:30 pm - 5:00 pm; Check website for updates. ","www.aboutfresh.org/fresh-truck/#schedule","(617) 297-7685","42.347505","-71.137796"
"The Fresh Truck Mobile Market","230 Bowdoin Street","DORCHESTER","MA","02122","Dates and Time: Tuesday, 9:30 am - 12:00 pm; Check website for updates. ","www.aboutfresh.org/fresh-truck/#schedule","(617) 297-7685","42.320983","-71.091177"
"The Food Project - CSA Pick-Up","Dudley Town Common (corner of Dudley Street & Blue Hill Ave.)","Boston","MA","02119","CSA Pick-up Days: Thursday, Starting in June.","csa.thefoodproject.org/csa-farm-shares/","617-442-1322","42.325268","-71.086411"
"Roxbury/Dudley Town Common Farmers Market","Blue Hill Ave & Dudley St-Dudley Town Common","Boston","MA","02119","Dates & Time: June 26 to October 30; Thursday, 2:30 pm - 6:00 pm; WIC & Senior Coupons Accepted; EBT-SNAP Accepted. Market moves to Greenhouse at 11 Brook Ave. in October. ","www.facebook.com/dudleygrows/","","42.335292","-71.052714"
"The Fresh Truck Mobile Market","99 Kent Street","Brookline","MA","02445","Dates and Time: Friday, 10:00 am- 12:30 pm; Check website for updates. ","www.aboutfresh.org/fresh-truck/#schedule","(617) 297-7685","42.354681","-71.068258"
"Oasis on Ballou at Ballou","100 Ballou Ave.","DORCHESTER","MA","02121","Open Monday to Saturday, 8:00 am - 3:00 pm.","","(617) 825-4224","42.348423","-71.149876"
"Allandale Farm","259 Allandale Road","Brookline","MA","02445","Have launched online ordering. Orders will be available for pick-up on the farm. To ensure the health and safety of both customers and employees, farm has established a “distance shopping” process, which includes online payments & self-loading of your purchases. 60 acres mixed vegetables grown using organic practices; Outdoor Summer Program for children; farm market, wholesale and CSA.

Product Categories Offered: Vegetables, Flowers
CSA Product Offered: Vegetables, Flowers
Pick-ups: On Farm (CSA)","www.Allandalefarm.com","(617) 524-1531","42.359327","-71.067306"
"Roslindale Farmers Market","Washington Street-Adams Park","ROSLINDALE","MA","02131","Dates & Times: June 6 to November 21; Saturday, 9:00 am - 1:30 pm; WIC & Senior Coupons Accepted; EBT-SNAP Accepted.

","www.roslindale.net","","42.359313","-71.114609"
"Roslindale Winter Farmers Market","10 Birch Street","ROSLINDALE","MA","02131","Dates & Times: January 3 to March 28; Sunday, 10:00 am - 1:00 pm; EBT-SNAP Accepted","www.roslindale.net","","42.354257","-71.130107"
"Sweeties","48 Corinth Street","ROSLINDALE","MA","02131","","www.sweeties-social.com","(617) 858-1333","42.34168","-71.04426"
"Urban Farming Institute of Boston Inc./Fowler Clark Epstein Farmstand","487 Norfolk St.","MATTAPAN","MA","02126","Open Friday, 1:00 pm - 5:00 pm, July 1 to November 18.","urbanfarminginstitute.org","(617) 514-0540","42.381556","-71.040912"
"The Fresh Truck Mobile Market","18 Trotter Ct. ","Boston","MA","02118","Dates and Time: Friday, 2:30 pm - 4:30 pm; Check website for updates. ","www.aboutfresh.org/fresh-truck/#schedule","(617) 297-7685","42.341947","-71.091233"
"Dorchester Winter Farmers Market","6 Norfolk Street","DORCHESTER","MA","02124","The Great Hall; Dates & Times: January 24 to March 14; Saturday, 11:00 am - 2:00 pm; EBT-SNAP Accepted with Select Vendors Only.","www.dorchesterwinterfarmersmarket.org","","42.353218","-71.131958"
"Dorchester/Codman Square Farmers Market","20 Wainwright Street","DORCHESTER","MA","02124","Dr. Loesch Family Park; Dates & Time: July 12 to October 18; Saturday, 11:00 am - 2:00 pm; WIC & Senior Coupons Accepted; EBT-SNAP Accepted.","www.codmansquarefarmersmarket.org","","42.311857","-71.0914"
"Dorchester/Dot House Health Farmers Market","1353 Dorchester Ave-Dorchester House, Outdoor space next to Kelly House","DORCHESTER","MA","02122","Dates & Time: July 21 to October 13; Tuesday, 11:30 am - 1:30 pm; WIC & Senior Coupons Accepted; EBT-SNAP Accepted.","www.dorchesterhouse.org/services/farmers_market.html","","42.375528","-71.041205"
"The Fresh Truck Mobile Market","1565 Dorchester Ave. ","DORCHESTER","MA","02122","Dates and Time: Saturday, 9:30 am - 12:00 pm; Check website for updates. ","www.aboutfresh.org/fresh-truck/#schedule","(617) 297-7685","42.361722","-71.063018"
"Dorchester/Fields Corner Farmers Market","Dorchester Ave & Park St-Shopping Center Parking Lot","DORCHESTER","MA","02122","Dates & Time: July 19 to October 25; Saturday, 9:00 am - 11:00 am; WIC & Senior Coupons Accepted; EBT-SNAP Accepted with select vendors.","","","42.348116","-71.05897"
"The Fresh Truck Mobile Market","7 Kimball Street","Boston","MA","02122","Dates and Time: Wednesday, 9:30 am - 12:30 pm; Check website for updates. ","www.aboutfresh.org/fresh-truck/#schedule","","42.322434","-71.083861"
"Oasis on Ballou at Washington St.","857 Washington St.","DORCHESTER","MA","02121","Wednesdays 12:30 pm - 3:00 pm at 857 Washington St. 

OASIS on Ballou represents a unique opportunity to create a special place at 100 Ballou Avenue in the Woodrow-Mountain Neighborhood that supports a culture of opportunity, affirmation, sustainability, inspiration, and success...a place we can all be proud of and reflects the pride in our neighborhood.","","(617) 825-4224","42.288872","-71.097196"
"Brookline Farmers Market","Beacon Street & Centre Street-Coolidge Corner, Center Street West Parking Lot","Brookline","MA","02446","Dates & Times: June 5 to November 20; Thursday, 1:30 pm - 6:30 pm; WIC & Senior Coupons Accepted; EBT-SNAP Accepted.

","www.brooklinefarmersmarket.com","","42.282195","-71.094926"
"Boston/Worcester Street Farmers Market","725 Tremont Street","Boston","MA","02118","Park behind Tremont Street; Dates and Time: Every other Saturday, May 3 to November 1; Saturday, 10:00 am - 3:00 pm.","www.facebook.com/people/Worcester-Street-Farm-and-Flea/61575140669313/#","","42.292938","-71.088761"
"Dorchester/Ashmont Farmers Market","1900 Dorchester Ave.","DORCHESTER","MA","02124","Droser Plaza; Dates & Time: July 11 to October 31; Friday, 2:00 pm - 6:00 pm; WIC & Senior Coupons Accepted; EBT-SNAP Accepted.","www.greaterashmont.org/farmers-market","","42.349153","-71.04179"
"The Fresh Truck Mobile Market","15 San Juan Street","Boston","MA","02118","Date and Time: Friday, 2:30 pm - 5:00 pm; Check website for updates.","www.aboutfresh.org/fresh-truck/#schedule","(617) 297-7685","42.290333","-71.093847"
"The Fresh Truck Mobile Market","Beechland Circle","ROSLINDALE","MA","02131","Dates and Time: Tuesday, 3:00 pm - 5:30 pm; Check website for updates. ","www.aboutfresh.org/fresh-truck/#schedule","(617) 297-7685","42.325057","-71.07875"
"The Fresh Truck Mobile Market","Sterling Square","Boston","MA","02127","Dates and Time: Thursday, 9:30 am - 12:00 pm; Check website for updates. ","www.aboutfresh.org/fresh-truck/#schedule","(617) 297-7685","42.34997","-71.040751"
"Mattapan Farmers Market","882 Cummins Highway","MATTAPAN","MA","02126","Dates & Times: July 11 to October 31; Saturday, 10:00 am - 1:00 pm; WIC & Senior Coupons Accepted; EBT-SNAP Accepted.","www.mattapanfoodandfit.org/","","42.362079","-71.059128"
"Round Table Urban Garden","7 Sterling Square","Boston","MA","02127","Open daily, May to October, 10:00 am - 1:00 pm. ","","(617) 777-2585 ","42.327382","-71.077026"
"Charlesgate Farmers Market","Commonwealth Ave between Charlesgate East and Charlesgate West","Boston","MA","02215","Dates and Time: Sunday, 10:00 am - 2:00 pm, June 22 to October 12. EBT-SNAP Accepted with Select Vendors Only. ","www.muddywaterinitiative.org/charlesgatefarmersmarket","","42.278289","-71.099183"
"Siena Farms South End","106 Waltham Street","Boston","MA","02118","Open daily, 11:00 am - 7:00 pm.
","www.sienafarms.com/farmstore.php","(617) 422-0030","42.360739","-71.071887"
"Siena Farms Farm Store","106 Waltham Street","Boston","MA","02101","Family farm which cultivates 75 acres of protected farmland in Sudbury & Sterling, MA. Over 100 varieties of vegetables grown for year-round CSA, their farm stores, and select restaurants/chefs.
Coupons accepted daily 11 am - 7 pm at Farm Store in Boston's South End.
 ","sienafarms.com/","978-261-5365","42.36772","-71.11334"
"Boston/SoWa Farmers Market","500 Harrison Ave.","Boston","MA","02118","Dates & Time: May 4 to to October 26; Sunday, 11:00 am - 5:00 pm; WIC & Senior coupons accepted.","www.sowaboston.com/sowa-open-market/","(508) 981-3594","42.346217","-71.056632"
"Boston/Copley Square Farmers Market","Copley Square Park, along Dartmouth Street","Boston","MA","02116","Dates & Time: May 15 to November 24; Tuesday and Friday, 11:00 am to 6:00 pm; WIC & Senior Coupons Accepted; EBT-SNAP Accepted.
 
","www.massfarmersmarkets.org","","42.370337","-71.129597"
"Red Fire Farm - CSA Pick-Up","227-230 Dartmouth Street","Boston","MA","02116","CSA Pick-up Location: Copley Square Farmers Market. CSA Pick-up Days: Friday, Starting in June.","www.redfirefarm.com/CSA/join.html","","42.348349","-71.050737"
"The Fresh Truck Mobile Market","7 Joyce Hayes Way","Boston","MA","02127","Wednesday, 9:30 am - 12:30 pm; Check website for updates. ","www.aboutfresh.org/fresh-truck/#schedule","(617) 297-7685","42.340578","-71.078895"
"Milton Farmers Market","Wharf Street and Adams Street-Town Park","Milton","MA","02186","Dates & Time: June 19 to October 9; Thursday, 1:00 pm - 6:00 pm; WIC & Senior Coupons Accepted.","www.facebook.com/miltonmassfarmersmarket/","","42.336259","-71.08602"
"The Food Project - CSA Pick-Up","92 Henry Street","Cambridge","MA","02139","CSA Pick-up Days: Tuesday, Starting in June.","csa.thefoodproject.org/csa-farm-shares/","617-442-1322","42.349162","-71.140848"
"Cambridgeport Farmers Market","Magazine Street & Memorial Drive-Morse School Parking lot","Cambridge","MA","02139","Dates & Time: May 31 to November 22; Saturday, 10:00 am - 2:00 pm; WIC & Senior Coupons Accepted; SNAP-EBT Accepted with select vendors. No market 10/19/2025.

","www.charlesriverfarmersmarket.com","","42.313758","-71.093319"
"The Farmacy at Harbor Health","10 Minot Street","DORCHESTER","MA","02122","Dates and Time: Friday, July 8, 15, 22, and 29, 2022; 10:30 am - 1:30 pm. ","www.hhsi.us/Farmacy","","42.361866","-71.064298"
"Dick's Market Garden: Minot Street Farmstand","10 Minot Street","DORCHESTER","MA","02122","2023 Dates: 6/16, 6/30, 7/14, 7/28, 8/11, 8/25, 9/8, 9/22, 10/6, 11/17; Friday, 10:30 - 1:30 pm. ","www.dicksmarketgardens.com/","","42.322144","-71.079843"
"The Fresh Truck Mobile Market","10 Minot Street","DORCHESTER","MA","02122","Dates & Times: Tuesday, 9:30 am -12:00 pm; Check website for updates. ","www.aboutfresh.org/fresh-truck/#schedule","(617) 297-7685","42.354679","-71.050792"
"The Original Boston Frosty","Corner of Boylston Street/Arlington Street","Boston","MA","02101","","www.bostonfrosty.net/","(781) 826-1151","42.341817","-71.14644"
"South Boston Farmers Market","446 West Broadway-West Broadway Municipal Front Parking Lot","Boston","MA","02127","Dates & Time: June 2 to November 17; Monday, 12:00 am - 5:00 pm; WIC & Senior Coupons Accepted; EBT-SNAP Accepted.","www.sbndc.org/south-boston-farmers-market","","42.355685","-71.130254"
"The Fresh Truck Mobile Market","1137 River Street","HYDE PARK","MA","02136","Dates and Time: Thursday, 2:00 pm - 4:30 pm; Check website for updates.  ","www.aboutfresh.org/fresh-truck/#schedule","(617) 297-7685","42.353324","-71.06874"
"World Peas CSA Pick-Up","150 Harrison Ave. ","Boston","MA","02101","CSA Pick-up Location: Tufts Friedman School. CSA Pick-up Days: Tuesday, Starting in June.","www.nesfp.org/NewEntryCSA","(978) 349-2080","42.36755","-71.129092"
"South Boston Hunnies","524 E. 8th st.","Boston","MA","02127","Honey hive and garden tours by appointment.","instagram.com/SouthBostonHunnies","","42.32198","-71.087514"
"Brighton Farmers Market","Brighton Common, 30 Chestnut Hill Ave.","BRIGHTON","MA","02135","Dates & Time: June 10 to October 28; Wednesday, 2:00 pm - 6:30 pm; Market closes at 6pm in October; WIC & Senior Coupons Accepted; EBT-SNAP Accepted.


","www.facebook.com/oaksquarefarmersmarket","","42.37294","-71.034318"
"Ron's Gourmet Ice Cream","1231 Hyde Park Ave","HYDE PARK","MA","02136","","www.ronsicecream.com","(978) 364-5274","42.310012","-71.080036"
"New City Microcreamery","534a Boston Post Rd","Cambridge","MA","02138","All of our bases and mix-ins are made in-house with a secret blend of sugars and stabilizers, steeped with real ingredients for 18-24 hours using a modified gelato process. Then slowly incorporate liquid nitrogen to freeze the base at -300°F, creating exceptionally small ice crystals for an extraordinarily smooth, silky mouthfeel. After hardening overnight in our deep freezes, our ice cream transitions from a soft-serve consistency to the classic, chewy texture New England is known for.","www.newcitymicrocreamery.com","(617) 945-0279","42.313773","-71.090796"
"Cambridge/Central Square Farmers Market","Norfolk St & Bishop Allen Dr-Parking lot # 5","Cambridge","MA","02139","Dates & Time: May 18 to November 23; Monday, Noon - 6:00 pm; WIC & Senior Coupons Accepted; EBT-SNAP Accepted.","www.massfarmersmarkets.org","","42.354204","-71.12923"
"Cambridge/Kendall Square Canal District Farmers Market","350 Kendall Street","Cambridge","MA","02142","Dates & Time: May 7 to October 29; Thursday, 12:00 pm - 6:00 pm; WIC & Senior Coupons Accepted; EBT-SNAP Accepted.","www.massfarmersmarkets.org","","42.356396","-71.114435"
"Boston Children's Museum Milk Bottle","308 Congress Street","Boston","MA","02101","","www.bostonchildrensmuseum.org","(617) 426-6500","42.36756","-71.115781"
"Red Fire Farm - CSA Pick-Up","765 Massachusetts Ave. ","Cambridge","MA","02139","CSA Pick-up Location: Life Alive Cafe. CSA Pick-up Days: Friday, Starting in June.","www.redfirefarm.com/CSA/join.html","","42.309812","-71.074614"
"Red Fire Farm - CSA Pick-Up","181 Devonshire Street","Boston","MA","02110","CSA Pick-up Location: Boston Wine Exchange. CSA Pick-up Days: Thursday, Starting in June.","www.redfirefarm.com/CSA/join.html","","42.36948","-71.050373"
"Mahoney's Garden Center","449 Western Avenue","BRIGHTON","MA","02135","Family-run home and garden center with eight retail locations in Winchester, Tewksbury, Concord, Brighton, Falmouth, Osterville and Chelmsford, and a growing facility in Woburn. Full-service garden center dedicated to providing the highest quality and largest selection of garden plants, gardening products, and gardening services. ","mahoneysgarden.com","(617) 787-8885","42.325326","-71.084287"
"Boston Honey Company ","100 Hanover street    ","Boston","MA","02101","Retail store within the Boston Public Market. Honey sampling, year round. Honeybee observation Hive. Pure Beeswax Candles and skin care products all made with our own sustainable harvested Beeswax. Open Wednesday to Sunday 8am to 8pm. Validated parking ($1to$3) with purchase.
","www.bostonhoneycompany.com","(508) 429-6872","42.339293","-71.075951"
"Boston Public Market","100 Hanover Street -Indoors, on the ground floor above the Haymarket MBTA Station","Boston","MA","02108","Dates & Time: Year-Round; Monday & Tuesday, 8:00 am - 6:00 pm; Wednesday to Saturday, 8:00 am - 8:00 pm; Sunday, 9:00 am - 6:00pm; EBT-SNAP Accepted. Memorial Day to Labor Day, 8:00 am - 8:00 pm, seven days a week","www.bostonpublicmarket.org","","42.299079","-71.058494"
"Boston Public Market ","100 Hanover Street-Indoors, on the ground floor above the Haymarket MBTA Station","Boston","MA","02109","Dates & Time: Year-Round; Monday & Tuesday, 8:00 am - 6:00 pm; Wednesday to Saturday, 8:00 am - 8:00 pm; Sunday, 9:00 am - 6:00 pm; EBT-SNAP Accepted.
","www.bostonpublicmarket.org","","42.29203","-71.088297"
"Fish & Farm Farmers Market","211 Northern Ave. ","Boston","MA","02210","Fish Pier; Dates and Time: June 6 to October 31, Saturday, 9:00 am - 1:00 pm; WIC & Senior Coupons Accepted; EBT-SNAP Accepted. ","www.massfarmersmarkets.org/fishandfarmmarket","","42.28196","-71.084854"
"First Street Market","59 First Street","Cambridge","MA","02141","Dates and Time: Thursday and Friday, 12:00 pm - 6:00 pm, Saturday, 11:00 am - 4:00 pm; May 16 to December 20.","www.firststreetmkt.com","","42.344137","-71.049467"
"First Street Market","59 First Street","Cambridge","MA","02141","Dates and Time: Thursday and Friday, 12:00 pm - 6:00 pm, Saturday, 11:00 am - 4:00 pm; January 16 to April 11","www.firststreetmkt.com","","42.327934","-71.074626"
"Brighton Winter Farmers Market","640 Washington St.","BRIGHTON","MA","02135","Presentation School Foundation Community Center; Dates and Time: January 25 to May 3; No market 4/5; Every other Sunday, 1:30 pm - 4:30 pm. EBT-SNAP Accepted.","www.psf-inc.org/winterfarmersmarket/","","42.356515","-71.072381"
"Red Fire Farm - CSA Pick-Up","640 Washington St.","BRIGHTON","MA","02135","CSA Pick-up Location: PSF Community Center. CSA Pick-up Days: Thursday, Starting in June.","www.redfirefarm.com/CSA/join.html","413-467-7645","42.341543","-71.139516"
"Red Fire Farm - CSA Pick-Up","1310 Cambridge Street","Cambridge","MA","02139","CSA Pick-up Location: East Cambridge Savings Bank. CSA Pick-up Day: Wednesday, Starting in June.","www.redfirefarm.com/CSA/join.html","","42.349288","-71.048577"
"Cambridge Winter/Charles River Farmers Market","1 Bennett St-Charles Hotel Courtyard at Harvard Square","Cambridge","MA","02138","Dates & Times: Year-Round; Friday, Noon to 6:00 pm and Sunday, 10:00 am - 3:00 pm; EBT-SNAP Accepted with select vendors only. Closed Easter Sunday.","www.charlesriverfarmersmarket.com","","42.369316","-71.067298"
"Cambridge/Charles River Farmers Market","1 Bennett St-Charles Hotel Courtyard at Harvard Square","Cambridge","MA","02138","Dates & Time: June to November; Friday, Noon to 6:00 pm and Sunday, 10:00 am - 3:00 pm;  EBT-SNAP Accepted with select vendors only. 

","www.charlesriverfarmersmarket.com/","","42.29287","-71.076841"
"Farmer Dave's - CSA Pick-Up","1493 Cambridge St.","Cambridge","MA","02139","CSA Pick-up Days: Tuesday, Starting in June.","farmerdaves.csaware.com/store/","978-349-1952","42.330076","-71.075168"
"Cambridge/Farmers Market at Harvard","1 Oxford Street","Cambridge","MA","02138","Science Center Plaza: Dates & Times: June 17 to October 28; Tuesday, 11:30 am - 5:30 pm; WIC & Senior Coupons Accepted; EBT-SNAP Accepted. ","www.dining.harvard.edu/farmers-market","","42.346724","-71.06171"
"Emack and Bolio’s ","100 City Square","CHARLESTOWN","MA","02129","","www.emackandbolios.com","(617) 232-2753","42.34344","-71.060453"
"We Grow Microgreens","21 Norton Street                                                                     ","HYDE PARK","MA","02136","Microgreens, edible flowers, seedlings, unique tropicals and leafy greens. Times can change. Check website or social media for updates, email: wegrowmicrogreens@gmail.com or call for appointment. 
","www.wegrowmicrogreens.com/","(617) 792-5424","42.352256","-71.054906"
"Farmer Dave's - CSA Pick-Up","164 Bellevue Rd.","QUINCY","MA","02171","CSA Pick-up Days: Friday, Starting in June.","farmerdaves.csaware.com/store/","978-349-1952","42.335395","-71.087716"
"Gracie's Ice Cream","22 Union Square","Somerville","MA","02143","","www.icecreamgracies.com","(617) 764-5294","42.281416","-71.090566"
"Somerville/Union Square Farmers Market","Union Square Plaza","Somerville","MA","02143","Dates & Times: May 9 to October 31; Saturday, 9:00 am - 1:00 pm; WIC & Senior Coupons Accepted; EBT-SNAP Accepted.

","www.unionsquaremain.org","","42.282644","-71.08542"
"Quincy Farmers Market","1 Linden Street","QUINCY","MA","02171","Date and Time: June 22 to October 26; Sunday, 12:30 pm - 4:00 pm. EBT-SNAP accepted with select vendors only. ","www.quincyfarmersmarket.com","","42.308986","-71.082177"
"Charlestown Farmers Market","Main St & Austin St-Thompson Square","CHARLESTOWN","MA","02129","Dates & Time: June 18 to October 29; Wednesday, 1:00 pm - 6:00 pm; WIC & Senior Coupons Accepted; EBT-SNAP Accepted.","","","42.361722","-71.072135"
"Newton Community Farm","303 Nahanton Street","Newton","MA","02456","Newton Community Farm is an organic practicing community farm that grows vegetables and herbs. Approximately 40% of the produce is distributed through sales at the on-site farm stand and local farmers' market and donations to local food pantries. The farm also has an 80 share CSA Program.

Open Thursday - Friday 1:30 pm to 6:00 pm and Saturday from 9:30 am to 1:00 pm.","www.newtoncommunityfarm.org","","42.332118","-71.091351"
"The Food Project - CSA Pick-Up","35 School St.","Somerville","MA","02143","CSA Pick-up Days: Tuesday, Starting in June.","csa.thefoodproject.org/csa-farm-shares/","617-442-1322","42.358017","-71.133615"
"Red Fire Farm - CSA Pick-Up","22 Vinal Ave.","Somerville","MA","02143","CSA Pick-up Location: Field and Vine, CSA Pick-up Days: Wednesday, Starting in June.","www.redfirefarm.com/CSA/join.html","413-467-7645","42.3461","-71.142436"
"Celebrity Pizza & Dairy Bar","684 Mt Auburn Street","Watertown","MA","02471","","www.celebritypizzainc.com","(617) 924-0009","42.344971","-71.046966"
"Honeycomb Creamery","1702 Massachusetts Ave","Cambridge","MA","02138","","www.honeycombcreamery.com","(617) 714-3983","42.331056","-71.042858"
"Eastie Farm","294 Sumner St","Boston","MA","02101","CSA location #1: 6 Chelsea Terrace, Boston
Pickup times: 
Wednesdays 4-7 pm
Thursdays 9 am-12 pm
Fridays1-4:30 pm

CSA location #2: 294 Sumner Street, Boston, 9am-12 pm
","eastiefarm.com","(617) 419-0787","42.292135","-71.101928"
"The Fresh Truck Mobile Market","38 O Reilly Way","CHARLESTOWN","MA","02129","Dates and Time: Thursday, 2:00 pm - 4:30 pm; Check website for updates.","www.aboutfresh.org/fresh-truck/#schedule","(617) 297-7685","42.296789","-71.060406"
"Farmer Dave's - CSA Pick-Up","120 Liverpool St.","Boston","MA","02128","CSA Pick-up Days: Thursday, Starting in June.","farmerdaves.csaware.com/store/","978-349-1952","42.334009","-71.053565"
"East Boston Farmers Market","Central Square Park, Meridian Street","Boston","MA","02128","Dates & Time: July 8 to October 28; Wednesday, 3:00 pm - 6:30 pm; WIC & Senior Coupons Accepted; EBT-SNAP Accepted. Market closes at 6:00 pm in October. 

","www.neighborhealth.com/en/events/summer-farmers-market","","42.336352","-71.089928"
"Somerville Mobile Market","115 Broadway","Somerville","MA","02143","Dates & Time: July 10 to November 1; Friday, 2:30 pm - 4:30 pm.
","www.somervillemobilefarmersmarket.wordpress.com/","() -","42.283608","-71.098978"
"Red Fire Farm - CSA Pick-Up","191 Highland Ave. # 1 A","Somerville","MA","02143","CSA Pick-up Location: Arts at the Armory. CSA Pick-up Days: Thursday, Starting in June.","www.redfirefarm.com/CSA/join.html","413-467-7645","42.351946","-71.060428"
"Dedham Farmers Market","670 High Street","Dedham","MA","02026","Dates & Time: June 17 to October 14; Wednesday, 2:00 pm - 6:00 pm; WIC & Senior Coupons Accepted; EBT-SNAP Accepted.","www.dedhamfarmersmarket.org","","42.274382","-71.097329"
"Dedham Spring Farmers Market","670 High Street","Dedham","MA","02026","First Church of Dedham; Dates and Time: Saturday, 10:00 am - 1:00 pm, April 11 to June 6. ","www.dedhamfarmersmarket.org","","42.304242","-71.072961"
"Dedham Winter Artisan Farmers Market","670 High Street","Dedham","MA","02026","Date and Time: Saturday, 10:00 am - 1:00 pm; 11/15, 12/13, 1/24, 2/21, 3/21; EBT-SNAP Accepted.","www.dedhamsquarecircle.org/become-a-vendor-artisan","","42.362434","-71.124346"
"Somerville Winter Farmers Market","191 Highland Ave.","Somerville","MA","02143","Dates & Times: Center for the Arts at the Armory, November 1 to April 11, Saturday, 9:30 am - 1:30 pm; EBT-SNAP Accepted. No market 11/29, 12/27.

","www.somwintermarket.org","","42.352337","-71.049999"
"Red Fire Farm - CSA Pick-Up","111 Mt. Auburn Street","Watertown","MA","02472","CSA Pick-up Location: Redeemer Fellowship Church. CSA Pick-up Days: Thursday, Starting in June.","www.redfirefarm.com/CSA/join.html","413-467-7645","42.302412","-71.061508"
